python main.py restaurant-json-Senna.txt elman restaurant-elman-Senna-3-50-50 3 50 50 true
[learning] epoch 0 >> 0.03% completed in 0.11 (sec) <<
[learning] epoch 0 >> 3.28% completed in 14.99 (sec) <<
[learning] epoch 0 >> 3.31% completed in 15.04 (sec) <<
[learning] epoch 0 >> 3.34% completed in 15.08 (sec) <<
[learning] epoch 0 >> 3.38% completed in 15.18 (sec) <<
[learning] epoch 0 >> 3.41% completed in 15.30 (sec) <<
[learning] epoch 0 >> 3.44% completed in 15.40 (sec) <<
[learning] epoch 0 >> 3.47% completed in 15.60 (sec) <<
[learning] epoch 0 >> 3.50% completed in 15.81 (sec) <<
[learning] epoch 0 >> 3.54% completed in 15.93 (sec) <<
[learning] epoch 0 >> 3.57% completed in 16.00 (sec) <<
[learning] epoch 0 >> 3.60% completed in 16.04 (sec) <<
[learning] epoch 0 >> 3.63% completed in 16.17 (sec) <<
[learning] epoch 0 >> 3.66% completed in 16.29 (sec) <<
[learning] epoch 0 >> 3.70% completed in 16.46 (sec) <<
[learning] epoch 0 >> 3.73% completed in 16.52 (sec) <<
[learning] epoch 0 >> 3.76% completed in 16.61 (sec) <<
[learning] epoch 0 >> 3.79% completed in 16.64 (sec) <<
[learning] epoch 0 >> 3.83% completed in 16.73 (sec) <<
[learning] epoch 0 >> 3.86% completed in 16.85 (sec) <<
[learning] epoch 0 >> 3.89% completed in 16.89 (sec) <<
[learning] epoch 0 >> 3.92% completed in 16.99 (sec) <<
[learning] epoch 0 >> 3.95% completed in 17.11 (sec) <<
[learning] epoch 0 >> 3.99% completed in 17.31 (sec) <<
[learning] epoch 0 >> 4.02% completed in 17.71 (sec) <<
[learning] epoch 0 >> 4.05% completed in 17.92 (sec) <<
[learning] epoch 0 >> 4.08% completed in 17.95 (sec) <<
[learning] epoch 0 >> 4.11% completed in 18.02 (sec) <<
[learning] epoch 0 >> 4.15% completed in 18.34 (sec) <<
[learning] epoch 0 >> 4.18% completed in 18.45 (sec) <<
[learning] epoch 0 >> 4.21% completed in 18.50 (sec) <<
[learning] epoch 0 >> 4.24% completed in 18.64 (sec) <<
[learning] epoch 0 >> 4.28% completed in 19.08 (sec) <<
[learning] epoch 0 >> 4.31% completed in 19.21 (sec) <<
[learning] epoch 0 >> 4.34% completed in 19.36 (sec) <<
[learning] epoch 0 >> 4.37% completed in 19.58 (sec) <<
[learning] epoch 0 >> 4.40% completed in 19.69 (sec) <<
[learning] epoch 0 >> 4.44% completed in 19.78 (sec) <<
[learning] epoch 0 >> 4.47% completed in 19.92 (sec) <<
[learning] epoch 0 >> 4.50% completed in 20.08 (sec) <<
[learning] epoch 0 >> 4.53% completed in 20.29 (sec) <<
[learning] epoch 0 >> 4.56% completed in 20.40 (sec) <<
[learning] epoch 0 >> 4.60% completed in 20.46 (sec) <<
[learning] epoch 0 >> 4.63% completed in 20.52 (sec) <<
[learning] epoch 0 >> 4.66% completed in 20.56 (sec) <<
[learning] epoch 0 >> 4.69% completed in 20.62 (sec) <<
[learning] epoch 0 >> 4.73% completed in 20.79 (sec) <<
[learning] epoch 0 >> 4.76% completed in 20.96 (sec) <<
[learning] epoch 0 >> 4.79% completed in 21.02 (sec) <<
[learning] epoch 0 >> 4.82% completed in 21.25 (sec) <<
[learning] epoch 0 >> 4.85% completed in 21.63 (sec) <<
[learning] epoch 0 >> 4.89% completed in 21.74 (sec) <<
[learning] epoch 0 >> 4.92% completed in 21.86 (sec) <<
[learning] epoch 0 >> 4.95% completed in 22.07 (sec) <<
[learning] epoch 0 >> 4.98% completed in 22.23 (sec) <<
[learning] epoch 0 >> 5.01% completed in 22.32 (sec) <<
